data_type,exclusion,outcome,adjustment_set,model_type,outcome_label,adjustment_label,RR,conf.low,conf.high,p.value
cross,born_after1954,"c(""event_ever"", ""age_at_event"")",character(0),log_reg,age_at_event+event_ever,none,0.903232075333784,0.889158042485456,0.917552008208705,6.56324099223037e-37
cross,divorced_widowed,"c(""event_ever"", ""age_at_event"", ""since_last_int"")",character(0),log_reg,age_at_event+event_ever+since_last_int,none,0.874087308217733,0.861383063568319,0.88700110766515,1.941249947299e-72
long_nostrict,country,"c(""event_ever"", ""age_at_event"", ""since_last_int"")",character(0),log_reg,age_at_event+event_ever+since_last_int,none,0.876497915035912,0.860320345991866,0.8930151275716,1.20228639139788e-43
long_nostrict,country,"c(""event_ever"", ""since_last_int"", ""death_by_event"")",character(0),log_reg,death_by_event+event_ever+since_last_int,none,0.862455662188584,0.847010027242206,0.878212907731506,7.41905533741234e-58
long_nostrict,country,"c(""event_ever"", ""death_by_event"")",character(0),log_reg,death_by_event+event_ever,none,0.865218631825339,0.849688392357208,0.881063340003531,3.2606611066447e-55
cross,married_before18,"c(""event_ever"", ""age_at_event"")",age_int,log_reg,age_at_event+event_ever,age_int,1.03269799972681,1.01658000173984,1.04910813324456,6.21737815926196e-05
long_w1,born_after1954,"c(""event_ever"", ""age_at_event"")",age_int,log_reg,age_at_event+event_ever,age_int,1.11078359349815,1.06886770276483,1.15458932707175,9.34819610749142e-08
long_w1,none,"c(""event_ever"", ""age_at_event"", ""death_by_event"")",age_int,log_reg,age_at_event+death_by_event+event_ever,age_int,1.09740254176074,1.05797925417312,1.13850537077685,6.79888948882095e-07
cross,none,"c(""event_ever"", ""age_at_event"", ""since_last_int"")",age_int,log_reg,age_at_event+event_ever+since_last_int,age_int,1.03083451583127,1.01479027645685,1.04716884140845,0.000150509994567858
long_w1,country,"c(""event_ever"", ""age_at_event"", ""since_last_int"")",age_int,log_reg,age_at_event+event_ever+since_last_int,age_int,1.09407684310036,1.05115122288397,1.1390083342796,1.12887169065036e-05
long_nostrict,born_after1954,"c(""event_ever"", ""age_at_event"", ""since_last_int"")",age_int,log_reg,age_at_event+event_ever+since_last_int,age_int,1.03520477364495,1.0140717554853,1.05683579981799,0.00102501411861011
long_w1,born_after1954,"c(""event_ever"", ""death_by_event"")",age_int,log_reg,death_by_event+event_ever,age_int,1.09827273339809,1.05882199664613,1.13940365368929,5.43724583326565e-07
cross,none,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")",dn042_,log_reg,age_at_event+death_by_event+event_ever+since_last_int,dn042_,0.821268886281626,0.809429708629393,0.833295646678363,1.8539595148925e-155
long_nostrict,none,event_ever,dn042_,log_reg,event_ever,dn042_,0.841550726482189,0.825972994071269,0.857450754428778,4.54711503634226e-73
cross,none,event_ever,dn042_,log_reg,event_ever,dn042_,0.837922677828543,0.825459013835351,0.850592588407327,3.63170996449352e-118
cross,country,event_ever,dn042_,log_reg,event_ever,dn042_,0.838691677590187,0.826005920195846,0.851590822991109,3.79918860067877e-113
long_w1,none,"c(""event_ever"", ""age_at_event"", ""death_by_event"")",dn042_,log_reg,age_at_event+death_by_event+event_ever,dn042_,0.806426859031702,0.779581218168655,0.834261992088706,1.5634429792712e-35
cross,country,"c(""event_ever"", ""since_last_int"", ""death_by_event"")",dn042_,log_reg,death_by_event+event_ever+since_last_int,dn042_,0.82208302212251,0.810029790990235,0.834330447898478,7.9973187518917e-149
long_nostrict,younger_than_55_w1,"c(""event_ever"", ""since_last_int"", ""death_by_event"")",dn042_,log_reg,death_by_event+event_ever+since_last_int,dn042_,0.851801846237564,0.834064897515948,0.869931443222031,1.97692530915648e-50
cross,younger_than_55_w1,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")",country,log_reg,age_at_event+death_by_event+event_ever+since_last_int,country,0.924400329456586,0.909141298757547,0.939934773379944,2.2247378512824e-20
long_w1,born_after1954,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")",country,log_reg,age_at_event+death_by_event+event_ever+since_last_int,country,0.866845339625937,0.838449288412118,0.896291391912506,4.58547888467904e-17
long_w1,married_before18,event_ever,country,log_reg,event_ever,country,0.880217420352225,0.849710477739176,0.911945852003492,1.48403018980285e-12
cross,country,"c(""event_ever"", ""age_at_event"")",country,log_reg,age_at_event+event_ever,country,0.89100534911255,0.877618565463691,0.904619996191071,2.14275213034645e-50
long_w1,born_after1954,"c(""event_ever"", ""age_at_event"", ""death_by_event"")",country,log_reg,age_at_event+death_by_event+event_ever,country,0.870320782114931,0.841732183047806,0.899971288276105,3.99778596543238e-16
long_nostrict,married_before18,"c(""event_ever"", ""since_last_int"", ""death_by_event"")",country,log_reg,death_by_event+event_ever+since_last_int,country,0.873080289257102,0.857544167501693,0.888927224295417,1.40435168783001e-49
cross,country,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")",dn010_,log_reg,age_at_event+death_by_event+event_ever+since_last_int,dn010_,0.872218376859786,0.858923653889033,0.885745386155465,4.91392808379598e-68
cross,born_after1954,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")",dn010_,log_reg,age_at_event+death_by_event+event_ever+since_last_int,dn010_,0.88965495770984,0.875350414503415,0.904219727525804,2.64222189036185e-45
cross,married_before18,"c(""event_ever"", ""age_at_event"")",dn010_,log_reg,age_at_event+event_ever,dn010_,0.888314969449647,0.874547565838634,0.902329907118012,7.45577157840052e-50
cross,country,"c(""event_ever"", ""age_at_event"", ""death_by_event"")",dn010_,log_reg,age_at_event+death_by_event+event_ever,dn010_,0.872218376859786,0.858923653889033,0.885745386155465,4.91392808379598e-68
cross,married_before18,"c(""event_ever"", ""since_last_int"", ""death_by_event"")",dn010_,log_reg,death_by_event+event_ever+since_last_int,dn010_,0.873934352424073,0.860802497109076,0.887292558188056,5.02587541612913e-68
cross,married_before18,"c(""event_ever"", ""death_by_event"")",dn010_,log_reg,death_by_event+event_ever,dn010_,0.873934352424073,0.860802497109076,0.887292558188056,5.02587541612913e-68
cross,divorced_widowed,"c(""event_ever"", ""death_by_event"")",dn010_,log_reg,death_by_event+event_ever,dn010_,0.873403731860343,0.860298268078917,0.886735039659589,8.22786915761796e-69
long_w1,divorced_widowed,event_ever,br002_,log_reg,event_ever,br002_,0.948558156574341,0.902812380447123,0.99696927797954,0.03688173941608
cross,younger_than_55_w1,event_ever,br002_,log_reg,event_ever,br002_,0.996654085756159,0.969146806710281,1.02504884426308,0.814766106165955
cross,none,"c(""event_ever"", ""age_at_event"")",br002_,log_reg,age_at_event+event_ever,br002_,0.95719715858723,0.934846340436861,0.980167832804355,0.000291914918389804
long_w1,born_after1954,"c(""event_ever"", ""age_at_event"", ""death_by_event"")",br002_,log_reg,age_at_event+death_by_event+event_ever,br002_,0.954278877972405,0.910125129804179,1.00086386201204,0.0535405197391441
cross,none,"c(""event_ever"", ""since_last_int"", ""death_by_event"")",br002_,log_reg,death_by_event+event_ever+since_last_int,br002_,0.944422765501445,0.92310527157156,0.96630528864193,9.52813632143929e-07
cross,younger_than_55_w1,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")",phactiv,log_reg,age_at_event+death_by_event+event_ever+since_last_int,phactiv,0.940270310075526,0.92360963329604,0.957259938102826,1.51553180150276e-11
cross,divorced_widowed,event_ever,phactiv,log_reg,event_ever,phactiv,0.919371652187824,0.904488492215001,0.934532814472592,6.46939071852436e-24
long_nostrict,married_before18,"c(""event_ever"", ""age_at_event"", ""death_by_event"")",phactiv,log_reg,age_at_event+death_by_event+event_ever,phactiv,0.895508564123874,0.879137511666005,0.912222099337493,1.12143018343307e-31
long_w1,country,"c(""event_ever"", ""age_at_event"", ""death_by_event"")",phactiv,log_reg,age_at_event+death_by_event+event_ever,phactiv,0.890770711444676,0.859800429951993,0.922981281880751,1.60828110807329e-10
long_nostrict,country,"c(""event_ever"", ""age_at_event"", ""death_by_event"")",phactiv,log_reg,age_at_event+death_by_event+event_ever,phactiv,0.894973326802104,0.878312976711221,0.911988702505374,6.51440672653176e-31
long_w1,younger_than_55_w1,"c(""event_ever"", ""since_last_int"", ""death_by_event"")",phactiv,log_reg,death_by_event+event_ever+since_last_int,phactiv,0.927455516174476,0.895103178369661,0.961093155890023,3.31889444531157e-05
long_w1,younger_than_55_w1,"c(""event_ever"", ""age_at_event"", ""death_by_event"")","c(""age_int"", ""dn042_"")",log_reg,age_at_event+death_by_event+event_ever,age_int+dn042_,1.01365062407539,0.974390366049041,1.05465071418104,0.501905441051472
long_nostrict,younger_than_55_w1,"c(""event_ever"", ""age_at_event"", ""death_by_event"")","c(""age_int"", ""dn042_"")",log_reg,age_at_event+death_by_event+event_ever,age_int+dn042_,0.973129346207942,0.951566187980251,0.995220018879336,0.0172915620449157
long_nostrict,country,"c(""event_ever"", ""since_last_int"", ""death_by_event"")","c(""age_int"", ""dn042_"")",log_reg,death_by_event+event_ever+since_last_int,age_int+dn042_,0.959272599796017,0.940437132479303,0.978528139748388,4.04086758771337e-05
cross,divorced_widowed,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")","c(""age_int"", ""country"")",log_reg,age_at_event+death_by_event+event_ever+since_last_int,age_int+country,1.04022013667077,1.02419981603729,1.05652509735365,6.54426241708207e-07
long_w1,younger_than_55_w1,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")","c(""age_int"", ""country"")",log_reg,age_at_event+death_by_event+event_ever+since_last_int,age_int+country,1.09094854735043,1.04981161358832,1.13390048141968,9.48242593067484e-06
cross,born_after1954,"c(""event_ever"", ""age_at_event"")","c(""age_int"", ""country"")",log_reg,age_at_event+event_ever,age_int+country,1.0644840442562,1.04655420115279,1.08276088832939,5.91136214911177e-13
cross,divorced_widowed,"c(""event_ever"", ""age_at_event"", ""since_last_int"")","c(""age_int"", ""country"")",log_reg,age_at_event+event_ever+since_last_int,age_int+country,1.05085344348483,1.03425621406711,1.06775467140185,1.06057887304758e-09
cross,none,"c(""event_ever"", ""since_last_int"", ""death_by_event"")","c(""age_int"", ""country"")",log_reg,death_by_event+event_ever+since_last_int,age_int+country,1.04020196525365,1.02418189282267,1.05650667494505,6.6194576157558e-07
long_nostrict,divorced_widowed,"c(""event_ever"", ""since_last_int"", ""death_by_event"")","c(""age_int"", ""country"")",log_reg,death_by_event+event_ever+since_last_int,age_int+country,1.03640526988528,1.01665413575207,1.05659171304004,0.000274912849367774
long_w1,younger_than_55_w1,"c(""event_ever"", ""since_last_int"", ""death_by_event"")","c(""age_int"", ""country"")",log_reg,death_by_event+event_ever+since_last_int,age_int+country,1.09094854735043,1.04981161358832,1.13390048141968,9.48242593067484e-06
long_nostrict,younger_than_55_w1,"c(""event_ever"", ""since_last_int"", ""death_by_event"")","c(""age_int"", ""country"")",log_reg,death_by_event+event_ever+since_last_int,age_int+country,1.05526406731883,1.03251729901213,1.07856699858026,1.34800558047898e-06
long_nostrict,none,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")","c(""age_int"", ""dn010_"")",log_reg,age_at_event+death_by_event+event_ever+since_last_int,age_int+dn010_,0.998968022505276,0.978524169619145,1.01990828154628,0.92216011756778
cross,married_before18,"c(""event_ever"", ""age_at_event"", ""death_by_event"")","c(""age_int"", ""dn010_"")",log_reg,age_at_event+death_by_event+event_ever,age_int+dn010_,1.00965193581847,0.993444991357851,1.02616347254891,0.245195704251065
long_w1,married_before18,"c(""event_ever"", ""age_at_event"", ""since_last_int"")","c(""age_int"", ""dn010_"")",log_reg,age_at_event+event_ever+since_last_int,age_int+dn010_,1.11781014915534,1.07077010087629,1.1673216172122,4.2546916085491e-07
long_nostrict,none,"c(""event_ever"", ""since_last_int"", ""death_by_event"")","c(""age_int"", ""dn010_"")",log_reg,death_by_event+event_ever+since_last_int,age_int+dn010_,0.998968022505276,0.978524169619145,1.01990828154628,0.92216011756778
long_w1,younger_than_55_w1,"c(""event_ever"", ""death_by_event"")","c(""age_int"", ""dn010_"")",log_reg,death_by_event+event_ever,age_int+dn010_,1.08590517898264,1.04116861149952,1.13288037438594,0.000129678099955523
long_nostrict,none,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")","c(""age_int"", ""br002_"")",log_reg,age_at_event+death_by_event+event_ever+since_last_int,age_int+br002_,1.03620152242613,1.00752352397022,1.06582609233949,0.0132078421639535
cross,married_before18,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")","c(""age_int"", ""br002_"")",log_reg,age_at_event+death_by_event+event_ever+since_last_int,age_int+br002_,1.04141252964915,1.01669920195344,1.06682140393567,0.000947750507383444
long_w1,divorced_widowed,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")","c(""age_int"", ""br002_"")",log_reg,age_at_event+death_by_event+event_ever+since_last_int,age_int+br002_,1.14241242974296,1.08541292748886,1.20291189573595,3.81007204716302e-07
long_nostrict,none,event_ever,"c(""age_int"", ""br002_"")",log_reg,event_ever,age_int+br002_,1.04249019185996,1.01288362908451,1.07310759445041,0.00473793687822899
cross,divorced_widowed,"c(""event_ever"", ""age_at_event"")","c(""age_int"", ""br002_"")",log_reg,age_at_event+event_ever,age_int+br002_,1.0503607704506,1.02476420976213,1.07670466037185,9.79474800406535e-05
cross,divorced_widowed,"c(""event_ever"", ""age_at_event"", ""death_by_event"")","c(""age_int"", ""br002_"")",log_reg,age_at_event+death_by_event+event_ever,age_int+br002_,1.04444586553826,1.0196590518295,1.0699316542689,0.000396775393479989
cross,divorced_widowed,"c(""event_ever"", ""age_at_event"", ""since_last_int"")","c(""age_int"", ""br002_"")",log_reg,age_at_event+event_ever+since_last_int,age_int+br002_,1.0478013136505,1.0223033521936,1.07404191498172,0.000209256194906175
cross,none,"c(""event_ever"", ""death_by_event"")","c(""age_int"", ""br002_"")",log_reg,death_by_event+event_ever,age_int+br002_,1.04444586553826,1.0196590518295,1.0699316542689,0.000396775393479989
long_nostrict,divorced_widowed,"c(""event_ever"", ""death_by_event"")","c(""age_int"", ""br002_"")",log_reg,death_by_event+event_ever,age_int+br002_,1.03906110005361,1.01025818517783,1.06881732672331,0.00768054807097361
long_nostrict,none,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")","c(""age_int"", ""phactiv"")",log_reg,age_at_event+death_by_event+event_ever+since_last_int,age_int+phactiv,1.02439890582888,1.0045976725052,1.04464819910711,0.0156408837892145
long_nostrict,married_before18,event_ever,"c(""age_int"", ""phactiv"")",log_reg,event_ever,age_int+phactiv,1.0381655990642,1.01749347246923,1.05932262162892,0.000267988470953083
long_nostrict,younger_than_55_w1,event_ever,"c(""age_int"", ""phactiv"")",log_reg,event_ever,age_int+phactiv,1.05215610186853,1.02851562537104,1.07640954683319,1.19326030272468e-05
cross,none,"c(""event_ever"", ""age_at_event"")","c(""age_int"", ""phactiv"")",log_reg,age_at_event+event_ever,age_int+phactiv,1.04716649562892,1.0292424523837,1.06545149003825,1.73987467198414e-07
long_w1,country,"c(""event_ever"", ""age_at_event"", ""death_by_event"")","c(""age_int"", ""phactiv"")",log_reg,age_at_event+death_by_event+event_ever,age_int+phactiv,1.09833028654672,1.05666588336565,1.14188165323725,2.1306068796917e-06
long_nostrict,married_before18,"c(""event_ever"", ""death_by_event"")","c(""age_int"", ""phactiv"")",log_reg,death_by_event+event_ever,age_int+phactiv,1.02797511467019,1.0080376076445,1.04836536228766,0.00582965012920019
long_w1,divorced_widowed,"c(""event_ever"", ""age_at_event"", ""death_by_event"")","c(""dn042_"", ""country"")",log_reg,age_at_event+death_by_event+event_ever,country+dn042_,0.802093094247989,0.77513587130297,0.83004856823981,1.43060306446839e-36
long_nostrict,divorced_widowed,"c(""event_ever"", ""age_at_event"", ""death_by_event"")","c(""dn042_"", ""country"")",log_reg,age_at_event+death_by_event+event_ever,country+dn042_,0.834541568171027,0.819340802482152,0.85004767599917,9.39916077777684e-83
cross,country,"c(""event_ever"", ""age_at_event"", ""death_by_event"")","c(""dn042_"", ""country"")",log_reg,age_at_event+death_by_event+event_ever,country+dn042_,0.834412356295186,0.821982346653784,0.847045612679614,2.08161587135764e-123
long_nostrict,younger_than_55_w1,"c(""event_ever"", ""since_last_int"", ""death_by_event"")","c(""dn042_"", ""country"")",log_reg,death_by_event+event_ever+since_last_int,country+dn042_,0.862584900836615,0.844359805555037,0.881219901385175,6.77549764290646e-42
cross,born_after1954,"c(""event_ever"", ""death_by_event"")","c(""dn042_"", ""country"")",log_reg,death_by_event+event_ever,country+dn042_,0.850572085970647,0.83704825551628,0.86432724668909,4.17500866464764e-87
long_w1,none,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")","c(""dn042_"", ""dn010_"")",log_reg,age_at_event+death_by_event+event_ever+since_last_int,dn010_+dn042_,0.838048640308374,0.806516251598446,0.870962142061228,2.06299558723652e-19
long_w1,married_before18,"c(""event_ever"", ""age_at_event"", ""death_by_event"")","c(""dn042_"", ""dn010_"")",log_reg,age_at_event+death_by_event+event_ever,dn010_+dn042_,0.838542403694847,0.806946797112414,0.871522470591057,3.04514082102843e-19
long_w1,younger_than_55_w1,"c(""event_ever"", ""age_at_event"", ""since_last_int"")","c(""dn042_"", ""dn010_"")",log_reg,age_at_event+event_ever+since_last_int,dn010_+dn042_,0.900160037128788,0.86199762904307,0.940225481900673,2.06550081589438e-06
long_w1,married_before18,"c(""event_ever"", ""since_last_int"", ""death_by_event"")","c(""dn042_"", ""dn010_"")",log_reg,death_by_event+event_ever+since_last_int,dn010_+dn042_,0.838542403694847,0.806946797112414,0.871522470591057,3.04514082102843e-19
cross,divorced_widowed,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")","c(""dn042_"", ""br002_"")",log_reg,age_at_event+death_by_event+event_ever+since_last_int,br002_+dn042_,0.881682127749907,0.861232042773411,0.902672794392354,8.28667574821572e-26
cross,country,"c(""event_ever"", ""age_at_event"", ""death_by_event"")","c(""dn042_"", ""br002_"")",log_reg,age_at_event+death_by_event+event_ever,br002_+dn042_,0.885522140576194,0.864578570657686,0.907032109470332,2.71483825886231e-23
cross,born_after1954,"c(""event_ever"", ""age_at_event"", ""since_last_int"")","c(""dn042_"", ""br002_"")",log_reg,age_at_event+event_ever+since_last_int,br002_+dn042_,0.902064127429503,0.878521326080597,0.926306825862322,2.37441686598897e-14
long_w1,none,event_ever,"c(""dn042_"", ""phactiv"")",log_reg,event_ever,dn042_+phactiv,0.872215858197216,0.840626823012488,0.905118456389033,4.13682465374979e-13
cross,divorced_widowed,event_ever,"c(""dn042_"", ""phactiv"")",log_reg,event_ever,dn042_+phactiv,0.873477583524474,0.859033766008946,0.888190945306875,7.836585950172e-57
long_nostrict,country,event_ever,"c(""dn042_"", ""phactiv"")",log_reg,event_ever,dn042_+phactiv,0.870846014825093,0.853795216041299,0.888275164965791,1.11913983059568e-42
cross,born_after1954,"c(""event_ever"", ""age_at_event"")","c(""dn042_"", ""phactiv"")",log_reg,age_at_event+event_ever,dn042_+phactiv,0.888052089551537,0.872304443584332,0.904109703672144,1.29640135359083e-38
long_nostrict,born_after1954,"c(""event_ever"", ""since_last_int"", ""death_by_event"")","c(""dn042_"", ""phactiv"")",log_reg,death_by_event+event_ever+since_last_int,dn042_+phactiv,0.862143006292765,0.844948220152784,0.879715318807485,3.85673818894467e-47
long_nostrict,none,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")","c(""country"", ""dn010_"")",log_reg,age_at_event+death_by_event+event_ever+since_last_int,country+dn010_,0.903760938122938,0.885943406381846,0.921988378963475,2.59528952963723e-23
cross,born_after1954,"c(""event_ever"", ""age_at_event"")","c(""country"", ""dn010_"")",log_reg,age_at_event+event_ever,country+dn010_,0.937071993781224,0.92116361436586,0.95329014112325,1.0675623458271e-13
long_w1,married_before18,"c(""event_ever"", ""age_at_event"", ""death_by_event"")","c(""country"", ""dn010_"")",log_reg,age_at_event+death_by_event+event_ever,country+dn010_,0.894183961280641,0.860959793856692,0.928877542369817,7.7165202905572e-09
long_nostrict,divorced_widowed,"c(""event_ever"", ""age_at_event"", ""since_last_int"")","c(""country"", ""dn010_"")",log_reg,age_at_event+event_ever+since_last_int,country+dn010_,0.92408279371319,0.905265661548719,0.943352500917805,5.89477709037435e-14
long_nostrict,country,"c(""event_ever"", ""death_by_event"")","c(""country"", ""dn010_"")",log_reg,death_by_event+event_ever,country+dn010_,0.905620797814078,0.88745028813869,0.92421628547115,1.03207499999208e-21
long_nostrict,younger_than_55_w1,"c(""event_ever"", ""death_by_event"")","c(""country"", ""dn010_"")",log_reg,death_by_event+event_ever,country+dn010_,0.935741343358973,0.914678909323451,0.957344601276193,1.12378323754365e-08
long_nostrict,born_after1954,"c(""event_ever"", ""age_at_event"", ""since_last_int"", ""death_by_event"")","c(""country"", ""br002_"")",log_reg,age_at_event+death_by_event+event_ever+since_last_int,br002_+country,0.959727836889784,0.932029705422378,0.988358485622264,0.00603267582765191
long_nostrict,married_before18,event_ever,"c(""country"", ""br002_"")",log_reg,event_ever,br002_+country,0.959715906792764,0.933188850142719,0.987111548598659,0.00411281212064305
long_nostrict,younger_than_55_w1,event_ever,"c(""country"", ""br002_"")",log_reg,event_ever,br002_+country,0.999765155776102,0.967072798461665,1.03370966050143,0.988975523296044
long_nostrict,married_before18,"c(""event_ever"", ""age_at_event"")","c(""country"", ""br002_"")",log_reg,age_at_event+event_ever,br002_+country,0.959715906792764,0.933188850142719,0.987111548598659,0.00411281212064305
cross,younger_than_55_w1,"c(""event_ever"", ""age_at_event"", ""death_by_event"")","c(""country"", ""br002_"")",log_reg,age_at_event+death_by_event+event_ever,br002_+country,0.989049418160165,0.962260205564767,1.01667281630965,0.432622242564305
long_nostrict,married_before18,"c(""event_ever"", ""since_last_int"", ""death_by_event"")","c(""country"", ""br002_"")",log_reg,death_by_event+event_ever+since_last_int,br002_+country,0.944374060996746,0.919084690871521,0.970457165579067,3.70560967845293e-05
long_nostrict,younger_than_55_w1,"c(""event_ever"", ""since_last_int"", ""death_by_event"")","c(""country"", ""br002_"")",log_reg,death_by_event+event_ever+since_last_int,br002_+country,0.97890273297884,0.947925289584375,1.01101165251112,0.19451721885545
cross,divorced_widowed,"c(""event_ever"", ""death_by_event"")","c(""country"", ""br002_"")",log_reg,death_by_event+event_ever,br002_+country,0.952953470416136,0.931153131900854,0.975337683432634,4.60430855773625e-05
cross,born_after1954,"c(""event_ever"", ""death_by_event"")","c(""country"", ""br002_"")",log_reg,death_by_event+event_ever,br002_+country,0.969047948674677,0.945088225443599,0.99369657420914,0.0139920498087258
long_w1,married_before18,event_ever,"c(""country"", ""phactiv"")",log_reg,event_ever,country+phactiv,0.930291005580527,0.897095787858637,0.964875492439642,0.000100622398938606
long_w1,younger_than_55_w1,"c(""event_ever"", ""age_at_event"", ""death_by_event"")","c(""country"", ""phactiv"")",log_reg,age_at_event+death_by_event+event_ever,country+phactiv,0.935625178144782,0.902500681974194,0.970083931286674,0.000303616941008792
cross,none,"c(""event_ever"", ""age_at_event"", ""since_last_int"")","c(""country"", ""phactiv"")",log_reg,age_at_event+event_ever+since_last_int,country+phactiv,0.929330490681669,0.914124957248296,0.944822174194092,3.36626103921856e-18
long_nostrict,none,"c(""event_ever"", ""since_last_int"", ""death_by_event"")","c(""country"", ""phactiv"")",log_reg,death_by_event+event_ever+since_last_int,country+phactiv,0.904714384606367,0.888013399591679,0.921767391418201,6.83919066729743e-26
long_nostrict,country,"c(""event_ever"", ""since_last_int"", ""death_by_event"")","c(""country"", ""phactiv"")",log_reg,death_by_event+event_ever+since_last_int,country+phactiv,0.906746982437431,0.88968431614771,0.92417624400839,6.19219413530427e-24
